,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$25,000.00"
,WOMEN'S APPAREL (NEW WITH TAGS),STORE STOCK,946,"$79,391.84","$25,000.00",$26.43,$83.92,left,"$21,088.26"
UPC/SKU,ITEM DESCRIPTION,CONDITION,ORIGINAL QTY,RETAIL VALUE,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,VENDOR NAME,,"$3,911.74"
190380511088,Free People Ready Go Hoodie Black SM (Women's 4-6),New,1,$88.00,$88.00,$22.00,FREE PEOPLE/URBAN OUTFITTERS,,
190380642140,Intimately Free People Womens V-Neck Slimming Slip Dress Gray XS/S,New,1,$30.00,$30.00,$7.50,FREE PEOPLE/URBAN OUTFITTERS,,
190383926353,Free People Dani Tank Top White SM,New,1,$20.00,$20.00,$5.00,FREE PEOPLE/URBAN OUTFITTERS,,
190392635130,7 For All Mankind Jen7 Womens Sateen High Rise Skinny Ankle Pants Tan 10,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
190392635178,Jen7 Womens Sateen High Rise Skinny Ankle Pants Tan 18,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
190392642442,7 For All Mankind Jen7 Split-Seam Ankle Skinny Jeans Clean Rinse Size 8 Blue,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
190392642466,Jen7 by 7 for All Mankind Split-Seam Ankle Skinny Jeans DRAK Blue 12,New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
190392642480,"JEN7 by 7 for All Mankind Split-Seam Ankle Skinny Jeans - Navy, Size 16",New,1,$99.00,$99.00,$24.75,JEN 7/SEVEN FOR ALL MANKIND,,
193465747884,"Free People Intimately Fp Adella Frilled Chemise, Purple X-Small",New,1,$88.00,$88.00,$22.00,FREE PEOPLE/URBAN OUTFITTERS,,
193465822628,Free People Womens Twyla Smocked Sheer Blouse Navy S,New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
193465998361,Free People Womens Emma Button Down Eyelet Blouse Green M,New,1,$108.00,$108.00,$27.00,FREE PEOPLE/URBAN OUTFITTERS,,
193768351672,CeCe Womens Pink Ruffled Sleeveless Halter Midi Sheath Dress Size 10,New,1,$129.00,$129.00,$32.25,CECE/BERNARD CHAUS INC,,
194374162447,Free People Spring Bound Tee Blue Combo SM (Women's 4-6),New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374170251,"Free People Women's Angel Soft Sweater (Cosmos Combo, X-Large)",New,1,$108.00,$108.00,$27.00,FREE PEOPLE/URBAN OUTFITTERS,,
194374176321,Free People Elsie Tunic Top - White S,New,1,$98.00,$98.00,$24.50,FREE PEOPLE/URBAN OUTFITTERS,,
194374305424,Free People Ice Cold Top Black LG (Women's 12),New,1,$78.00,$78.00,$19.50,FREE PEOPLE/URBAN OUTFITTERS,,
