,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Client Spend,"$40,000.00"
,WOMEN'S APPAREL (NEW WITH TAGS),STORE STOCK,"2,383","$162,961.40","$40,000.00",$16.79,$68.38,Client Cost,"$40,005.33"
UPC/SKU,ITEM DESCRIPTION,CONDITION,ORIGINAL QTY,RETAIL VALUE,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,VENDOR NAME,Remainder,-$5.33
96611350313,Swim Solutions Plus Size Galactica Printed Ti Galactica 18W,NEW,1,$79.00,$79.00,$19.75,SWIM SOLUTIONS/PENBROOKE SWIMSUITS,,
96611353871,Swim Solutions Santorini Printed Underwire Ta Santorini 14,NEW,1,$72.00,$72.00,$18.00,SWIM SOLUTIONS/PENBROOKE SWIMSUITS,,
190608707149,"Anne Cole Women's Solid Twist Front Shirred Bandeau Tankini Swim Top, Navy, X-Small",NEW,1,$60.00,$60.00,$15.00,ANNE COLE COLLECTION/IN MOCEAN,,
190608723903,"Anne Cole Women's Twist Front Underwire Tankini Swim Top, Beautiful Bunches, 18W",NEW,1,$82.00,$82.00,$20.50,COLE OF CALIFORNIA/IN MOCEAN,,
190608723910,"Anne Cole Women's Twist Front Underwire Tankini Swim Top, Beautiful Bunches, 20W",NEW,1,$82.00,$82.00,$20.50,COLE OF CALIFORNIA/IN MOCEAN,,
190608780715,California Waves Shiny Ribbed Triangle Bikini T Sage L,NEW,1,$19.99,$19.99,$5.00,CALIFORNIA WAVES/IN MOCEAN GROUP,,
190608798529,"Anne Cole Women's Twist Front Shirred One Piece Swimsuit, White, 14",NEW,3,$88.00,$264.00,$66.00,ANNE COLE COLLECTION/IN MOCEAN,,
190608799069,Anne Cole High-Waist Bikini Bottoms Berry S,NEW,1,$54.00,$54.00,$13.50,ANNE COLE COLLECTION/IN MOCEAN,,
190608799458,Anne Cole Twist-Front Underwire Bikini T White 38B36C,NEW,1,$54.00,$54.00,$13.50,ANNE COLE COLLECTION/IN MOCEAN,,
192500508022,Nike Mens Sportswear Logo T-Shirt ObsidianRedWhite M,NEW,1,$25.00,$25.00,$6.25,NIKE USA INC,,
